price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury
0.0,3.0,146.0,0.0,3.0,2.65,3.0,3.0,3,1700.0,0,0,0,0,1,0
1.0,3.0,70.0,0.0,3.0,1.32,3.0,3.0,3,1554.4,0,0,0,0,0,2
3.0,2.0,194.0,0.0,0.0,6.0,4.0,5.0,3,3805.899,0,0,0,0,0,2
3.0,1.0,140.0,0.0,2.0,2.41,3.0,3.0,3,1625.0,0,0,0,0,0,2
3.0,0.0,81.0,1.0,0.0,5.0,3.0,3.0,3,2249.0,0,0,0,0,0,2
3.0,1.0,173.0,0.0,0.0,1.1,3.0,2.0,3,1320.0,0,0,0,0,0,2
2.0,3.0,154.0,0.0,3.0,3.19,4.0,5.0,3+,2100.0,0,1,0,0,0,0
3.0,3.0,181.0,0.0,1.0,1.08,3.0,5.0,3,1630.0,0,1,0,0,1,2
3.0,1.0,145.0,1.0,3.0,15.1,5.0,5.0,3+,8115.0,1,1,1,1,0,2
3.0,2.0,99.0,0.0,1.0,0.5,2.0,2.0,1,650.0,0,0,0,0,0,0
0.0,0.0,68.0,0.0,0.0,0.42,3.0,2.0,1,750.0,0,0,0,0,1,2
3.0,2.0,123.0,0.0,1.0,2.45,3.0,4.0,2,2290.0,1,0,0,0,0,0
2.0,3.0,190.0,0.0,2.0,0.74,2.0,2.0,3+,1230.0,0,0,0,0,0,2
3.0,3.0,190.0,0.0,0.0,0.21,1.0,1.0,1,394.0,0,0,0,0,0,2
3.0,0.0,63.0,1.0,0.0,1.85,4.0,3.0,2,1156.0,0,0,0,0,0,2
3.0,2.0,79.0,1.0,0.0,0.9,4.0,4.0,0,677.88,0,0,0,0,0,2
1.0,3.0,177.0,0.0,1.0,1.44,4.0,4.0,3,2040.0,0,0,0,0,0,2
1.0,0.0,153.0,0.0,2.0,1.0,1.0,1.0,1,435.0,0,0,0,0,0,2
1.0,2.0,194.0,0.0,1.0,3.2,4.0,3.0,3,2000.0,0,0,0,0,0,2
1.0,3.0,169.0,0.0,3.0,2.0,3.0,4.0,3,1685.0,0,1,0,0,0,2
3.0,3.0,177.0,0.0,0.0,0.9,4.0,5.0,3+,1596.0,0,1,0,0,0,2
3.0,2.0,79.0,1.0,0.0,6.0,9.0,9.0,3+,4142.6,0,0,0,0,0,2
3.0,4.0,149.0,0.0,0.0,0.75,2.0,2.0,2,876.0,0,0,0,0,0,2
3.0,0.0,123.0,1.0,1.0,4.6,7.0,6.0,3+,1733.0,0,0,0,0,0,1
1.0,1.0,158.0,0.0,2.0,1.35,3.0,3.0,3+,1199.0,0,0,1,0,0,0
3.0,2.0,55.0,1.0,0.0,1.1,9.0,3.0,3,1259.0,0,0,0,0,0,2
2.0,3.0,165.0,0.0,3.0,0.81,2.0,2.0,2,1040.0,0,0,0,0,0,0
3.0,0.0,68.0,1.0,0.0,1.3,3.0,3.0,1,1130.0,0,0,0,0,0,2
3.0,1.0,135.0,1.0,1.0,3.7,8.0,8.0,2,1453.0,0,0,0,1,0,0
3.0,2.0,94.0,1.0,0.0,1.6,8.0,5.0,3+,500.0,0,0,0,0,0,2
1.0,2.0,81.0,0.0,3.0,2.75,4.0,5.0,3+,2200.0,1,1,0,0,0,1
3.0,3.0,95.0,1.0,2.0,7.6,9.0,9.0,3,1937.0,1,0,1,1,0,0
1.0,0.0,88.0,0.0,2.0,1.55,3.0,4.0,3+,1536.0,0,1,0,0,0,2
3.0,3.0,160.0,0.0,3.0,1.25,3.0,3.0,2,862.1883899999999,1,0,0,1,0,0
3.0,3.0,114.0,0.0,0.0,0.32,2.0,2.0,1,950.0,0,0,0,0,0,0
1.0,4.0,149.0,0.0,2.0,0.74,3.0,3.0,1,1069.6,0,1,0,0,0,2
1.0,3.0,70.0,0.0,1.0,0.35,2.0,2.0,2,547.0,0,0,0,0,0,2
3.0,0.0,81.0,1.0,0.0,6.46,5.0,5.0,2,300.0,1,1,0,1,0,0
1.0,3.0,64.0,0.0,1.0,1.26,2.0,2.0,3,972.0,0,0,0,0,0,0
3.0,1.0,105.0,0.0,2.0,1.62,3.0,4.0,3+,107.7,0,1,0,0,0,2
2.0,1.0,158.0,0.0,1.0,2.25,3.0,3.0,3,1600.0,0,1,0,0,0,0
3.0,0.0,134.0,1.0,1.0,2.99,4.0,4.0,2,1453.0,1,1,0,1,0,0
3.0,2.0,81.0,1.0,0.0,7.5,3.0,3.0,2,4520.0,1,1,0,1,0,0
2.0,3.0,156.0,0.0,3.0,1.5,2.0,2.0,3,1200.0,0,0,1,0,0,2
2.0,0.0,149.0,0.0,1.0,0.91,3.0,2.0,2,1326.0,0,0,0,0,0,2
